checking_balance,months_loan_duration,funded_amnt,total_rec_prncp,recoveries,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
< 0 DM,12,10000,6801.96,21.76,good,education,902,< 100 DM,4 - 7 years,4,4,21,none,rent,1,skilled,1,no,yes
unknown,12,5000,1534.25,10.89,critical,car,1495,< 100 DM,> 7 years,4,1,38,none,own,2,unskilled,2,no,no
< 0 DM,30,7000,6551.86,15.25,critical,car,10623,< 100 DM,> 7 years,3,4,38,none,other,3,management,2,yes,no
unknown,12,9000,4961.86,19.8,critical,furniture/appliances,1935,< 100 DM,> 7 years,4,4,43,none,own,3,skilled,1,yes,no
1 - 200 DM,12,12200,9702.24,26.88,critical,furniture/appliances,1424,< 100 DM,4 - 7 years,4,3,26,none,own,1,skilled,1,no,no
< 0 DM,24,7750,3783.63,17.1,good,business,6568,< 100 DM,1 - 4 years,2,2,21,store,own,1,unskilled,1,no,no
unknown,12,20000,19370.67,44.17,good,car,1413,> 1000 DM,4 - 7 years,3,2,55,none,own,1,skilled,1,no,no
unknown,9,6075,3752.75,13.42,critical,furniture/appliances,3074,unknown,1 - 4 years,1,2,33,none,own,2,skilled,2,no,no
unknown,36,9975,6834.39,22.05,good,furniture/appliances,3835,unknown,> 7 years,2,4,45,none,own,1,unskilled,1,yes,no
< 0 DM,27,10400,8236.91,23,perfect,business,5293,< 100 DM,unemployed,2,4,50,store,own,2,skilled,1,yes,yes
> 200 DM,30,10000,4178.35,22.12,poor,business,1908,< 100 DM,> 7 years,4,4,66,none,own,1,management,1,yes,yes
unknown,36,10000,5727.02,22.14,critical,furniture/appliances,3342,unknown,> 7 years,4,2,51,none,own,1,skilled,1,yes,no
1 - 200 DM,6,9000,3487.73,19.98,critical,education,932,unknown,4 - 7 years,1,3,39,none,own,2,unskilled,1,no,no
< 0 DM,18,5000,2675.31,11.11,perfect,business,3104,< 100 DM,4 - 7 years,3,1,31,bank,own,1,skilled,1,yes,no
> 200 DM,36,4800,2107.73,10.69,good,furniture/appliances,3913,< 100 DM,1 - 4 years,2,2,23,none,own,1,skilled,1,yes,no
< 0 DM,24,26500,12466.2,59.07,good,furniture/appliances,3021,< 100 DM,1 - 4 years,2,2,24,none,rent,1,unskilled,1,no,no
unknown,10,7800,3540.5,17.41,good,car,1364,< 100 DM,1 - 4 years,2,4,64,none,own,1,skilled,1,yes,no
1 - 200 DM,12,7525,3534.37,16.8,good,furniture/appliances,625,< 100 DM,< 1 year,4,1,26,bank,own,1,unskilled,1,no,no
< 0 DM,12,9800,8489.67,22,good,education,1200,unknown,1 - 4 years,4,4,23,bank,rent,1,skilled,1,yes,no
unknown,12,8875,823.58,20,good,furniture/appliances,707,< 100 DM,1 - 4 years,4,2,30,bank,own,2,skilled,1,no,no
unknown,24,5000,4366.14,11.27,poor,business,2978,unknown,1 - 4 years,4,4,32,none,own,2,skilled,2,yes,no
unknown,15,12800,12314.07,28.87,good,car,4657,< 100 DM,1 - 4 years,3,2,30,none,own,1,skilled,1,yes,no
unknown,36,10000,8243.9,22.56,perfect,renovations,2613,< 100 DM,1 - 4 years,4,2,27,none,own,2,skilled,1,no,no
1 - 200 DM,48,10000,6894.05,22.77,good,furniture/appliances,10961,> 1000 DM,4 - 7 years,1,2,27,bank,own,2,skilled,1,yes,yes
< 0 DM,12,6500,1724.42,216,good,furniture/appliances,7865,< 100 DM,> 7 years,4,4,53,none,other,1,management,1,yes,yes
unknown,9,7200,350.87,239.32,good,furniture/appliances,1478,< 100 DM,4 - 7 years,4,2,22,none,own,1,skilled,1,no,yes
< 0 DM,24,24000,1188.5,797.81,good,furniture/appliances,3149,< 100 DM,< 1 year,4,1,22,bank,other,1,skilled,1,no,no
> 200 DM,36,6400,307.82,212.76,good,furniture/appliances,4210,< 100 DM,1 - 4 years,4,2,26,none,own,1,skilled,1,no,yes
unknown,9,9000,445.82,299.2,good,car,2507,500 - 1000 DM,> 7 years,2,4,51,none,other,1,unskilled,1,no,no
unknown,12,12400,595.32,412.25,good,furniture/appliances,2141,100 - 500 DM,4 - 7 years,3,1,35,none,own,1,skilled,1,no,no
1 - 200 DM,18,11725,581.01,389.83,good,furniture/appliances,866,< 100 DM,1 - 4 years,4,2,25,none,own,1,unskilled,1,no,no
unknown,4,8000,6108.78,266,critical,furniture/appliances,1544,< 100 DM,4 - 7 years,2,1,42,none,own,3,unskilled,2,no,no
< 0 DM,24,10000,495.48,332.51,good,furniture/appliances,1823,< 100 DM,unemployed,4,2,30,store,own,1,management,2,no,yes
1 - 200 DM,6,7400,356.1,246.08,good,car,14555,unknown,unemployed,1,2,23,none,own,1,unemployed,1,yes,yes
1 - 200 DM,21,9300,431.76,309.38,good,business,2767,100 - 500 DM,> 7 years,4,2,61,bank,rent,2,unskilled,1,no,yes
unknown,12,6000,2617.41,199.6,critical,furniture/appliances,1291,< 100 DM,1 - 4 years,4,2,35,none,own,2,skilled,1,no,no
< 0 DM,30,7000,1940.61,232.88,good,furniture/appliances,2522,< 100 DM,> 7 years,1,3,39,none,own,1,skilled,2,no,no
< 0 DM,24,16000,1005.14,532.61,good,car,915,unknown,> 7 years,4,2,29,bank,own,1,skilled,1,no,yes
unknown,6,21000,8828.6,699.07,good,furniture/appliances,1595,< 100 DM,4 - 7 years,3,2,51,none,own,1,skilled,2,no,no
< 0 DM,48,6000,2512.01,199.81,perfect,car,4605,< 100 DM,> 7 years,3,4,24,none,other,2,skilled,2,no,yes
unknown,12,1400,61.42,46.63,critical,business,1185,< 100 DM,1 - 4 years,3,2,27,none,own,2,skilled,1,no,no
unknown,12,10000,4513.35,333.11,very good,education,3447,500 - 1000 DM,1 - 4 years,4,3,35,none,own,1,unskilled,2,no,no
unknown,24,7000,300.58,233.26,good,business,1258,< 100 DM,4 - 7 years,4,1,25,none,own,1,skilled,1,yes,no
unknown,12,15000,1094.29,499.85,critical,furniture/appliances,717,< 100 DM,> 7 years,4,4,52,none,own,3,skilled,1,no,no
unknown,6,12000,3174.11,400,perfect,car,1204,100 - 500 DM,1 - 4 years,4,1,35,bank,rent,1,skilled,1,no,no
> 200 DM,24,15000,7987.73,500.03,good,furniture/appliances,1925,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,no,no
unknown,18,22250,1035.83,741.79,good,furniture/appliances,433,< 100 DM,unemployed,3,4,22,none,rent,1,skilled,1,no,yes
< 0 DM,6,25500,1183.96,850.18,critical,car,666,> 1000 DM,4 - 7 years,3,4,39,none,own,2,unskilled,1,yes,no
> 200 DM,12,10000,7777.86,333.42,good,furniture/appliances,2251,< 100 DM,1 - 4 years,1,2,46,none,own,1,unskilled,1,no,no
1 - 200 DM,30,12000,517.22,400.11,good,car,2150,< 100 DM,1 - 4 years,4,2,24,bank,own,1,skilled,1,no,yes
unknown,24,15500,705.13,516.83,poor,furniture/appliances,4151,100 - 500 DM,1 - 4 years,2,3,35,none,own,2,skilled,1,no,no
1 - 200 DM,9,11000,512.16,366.81,good,furniture/appliances,2030,unknown,4 - 7 years,2,1,24,none,own,1,skilled,1,yes,no
1 - 200 DM,60,15000,671.67,500.21,poor,furniture/appliances,7418,unknown,1 - 4 years,1,1,27,none,own,1,unskilled,1,no,no
unknown,24,17000,746.81,567.02,critical,furniture/appliances,2684,< 100 DM,1 - 4 years,4,2,35,none,own,2,unskilled,1,no,no
< 0 DM,12,20000,5191.34,667.24,very good,furniture/appliances,2149,< 100 DM,1 - 4 years,4,1,29,none,other,1,skilled,1,no,yes
unknown,15,2200,916,73.4,good,car,3812,100 - 500 DM,< 1 year,1,4,23,none,own,1,skilled,1,yes,no
unknown,11,6725,5211.99,224.39,critical,furniture/appliances,1154,100 - 500 DM,unemployed,4,4,57,none,own,3,unskilled,1,no,no
< 0 DM,12,4500,1868,150.15,good,furniture/appliances,1657,< 100 DM,1 - 4 years,2,2,27,none,own,1,skilled,1,no,no
< 0 DM,24,9250,3860.6,308.76,good,furniture/appliances,1603,< 100 DM,> 7 years,4,4,55,none,own,1,skilled,1,no,no
< 0 DM,18,7700,345.05,257.07,critical,car,5302,< 100 DM,> 7 years,2,4,36,none,other,3,management,1,yes,no
unknown,12,5000,2083.83,166.94,critical,education,2748,< 100 DM,> 7 years,2,4,57,bank,other,3,unskilled,1,no,no
unknown,10,6525,299.41,217.86,critical,car,1231,< 100 DM,> 7 years,3,4,32,none,own,2,unskilled,2,no,no
1 - 200 DM,15,12000,493.24,400.7,good,furniture/appliances,802,< 100 DM,> 7 years,4,3,37,none,own,1,skilled,2,no,yes
unknown,36,20000,8375.22,667.84,critical,business,6304,unknown,> 7 years,4,4,36,none,own,2,skilled,1,no,no
unknown,24,6000,1587.81,200.36,good,furniture/appliances,1533,< 100 DM,< 1 year,4,3,38,store,own,1,skilled,1,yes,no
< 0 DM,14,15000,3954.81,500.96,good,car,8978,< 100 DM,> 7 years,1,4,45,none,own,1,management,1,yes,yes
unknown,24,14000,627.49,467.67,good,furniture/appliances,999,unknown,> 7 years,4,2,25,none,own,2,skilled,1,no,no
unknown,18,10000,4115.27,334.06,good,car,2662,unknown,4 - 7 years,4,3,32,none,own,1,skilled,1,no,no
unknown,12,16450,6876.6,549.63,critical,furniture/appliances,1402,500 - 1000 DM,4 - 7 years,3,4,37,none,rent,1,skilled,1,yes,no
1 - 200 DM,48,6000,5194.47,202.7,very good,car,12169,unknown,unemployed,4,4,36,none,other,1,management,1,yes,no
1 - 200 DM,48,15000,455.09,506.81,good,furniture/appliances,3060,< 100 DM,4 - 7 years,4,4,28,none,own,2,skilled,1,no,yes
< 0 DM,30,10000,2468.23,338.02,good,renovations,11998,< 100 DM,< 1 year,1,1,34,none,own,1,unskilled,1,yes,yes
unknown,9,14000,5730.66,473.32,good,furniture/appliances,2697,< 100 DM,1 - 4 years,1,2,32,none,own,1,skilled,2,no,no
unknown,18,7425,3222.75,251.06,critical,furniture/appliances,2404,< 100 DM,1 - 4 years,2,2,26,none,own,2,skilled,1,no,no
< 0 DM,12,6250,4764.18,211.37,good,furniture/appliances,1262,unknown,> 7 years,2,4,49,none,own,1,unskilled,1,yes,no
unknown,6,30000,12349.11,1014.62,good,furniture/appliances,4611,< 100 DM,< 1 year,1,4,32,none,own,1,skilled,1,no,yes
unknown,24,24000,10062.35,811.87,good,furniture/appliances,1901,100 - 500 DM,1 - 4 years,4,4,29,none,rent,1,management,1,yes,no
unknown,15,23325,17646.05,789.15,critical,car,3368,> 1000 DM,> 7 years,3,4,23,none,rent,2,skilled,1,yes,no
unknown,12,13300,1557.47,450,good,furniture/appliances,1574,< 100 DM,1 - 4 years,4,2,50,none,own,1,skilled,1,no,no
> 200 DM,18,16000,478.96,541.39,very good,furniture/appliances,1445,unknown,4 - 7 years,4,4,49,bank,own,1,unskilled,1,no,no
unknown,15,20000,638.95,676.84,critical,furniture/appliances,1520,unknown,> 7 years,4,4,63,none,own,1,skilled,1,no,no
1 - 200 DM,24,27575,1179.57,933.59,critical,car,3878,100 - 500 DM,< 1 year,4,2,37,none,own,1,skilled,1,yes,no
< 0 DM,47,9500,2412.48,321.64,good,car,10722,< 100 DM,< 1 year,1,1,35,none,own,1,unskilled,1,yes,no
< 0 DM,48,8000,235.69,270.97,good,car,4788,< 100 DM,4 - 7 years,4,3,26,none,own,1,skilled,2,no,no
1 - 200 DM,48,17000,496.37,576.33,poor,car0,7582,100 - 500 DM,unemployed,2,4,31,none,other,1,management,1,yes,no
1 - 200 DM,12,5000,2254.4,169.55,good,furniture/appliances,1092,< 100 DM,1 - 4 years,4,4,49,none,own,2,skilled,1,yes,no
< 0 DM,24,18000,7351.13,610.53,poor,furniture/appliances,1024,< 100 DM,< 1 year,4,4,48,store,own,1,skilled,1,no,yes
unknown,12,8000,3271.15,271.48,good,business,1076,< 100 DM,1 - 4 years,2,2,26,none,own,1,skilled,1,yes,no
1 - 200 DM,36,13000,5318.23,441.16,good,car,9398,< 100 DM,< 1 year,1,4,28,none,rent,1,management,1,yes,yes
< 0 DM,24,20000,8382.17,679.72,critical,car,6419,< 100 DM,> 7 years,2,4,44,none,other,2,management,2,yes,no
> 200 DM,42,35000,28329.03,1189.7,critical,car,4796,< 100 DM,> 7 years,4,4,56,none,other,1,skilled,1,no,no
unknown,48,23500,667.24,799.03,critical,business,7629,unknown,> 7 years,4,2,46,bank,own,2,management,2,no,no
1 - 200 DM,48,5000,1418.1,170.02,good,furniture/appliances,9960,< 100 DM,< 1 year,1,2,26,none,own,1,skilled,1,yes,yes
unknown,12,15000,11536.8,510.1,good,car,4675,unknown,< 1 year,1,4,20,none,rent,1,skilled,1,no,no
unknown,10,1325,538.33,45.06,good,car,1287,unknown,> 7 years,4,2,45,none,own,1,unskilled,1,no,no
unknown,18,11000,305.53,374.14,good,furniture/appliances,2515,< 100 DM,1 - 4 years,3,4,43,none,own,1,skilled,1,yes,no
1 - 200 DM,21,25000,6282.15,850.32,critical,furniture/appliances,2745,> 1000 DM,4 - 7 years,3,2,32,none,own,2,skilled,1,yes,no
unknown,6,8000,3257.79,272.13,good,car,672,< 100 DM,unemployed,1,4,54,none,own,1,unemployed,1,yes,no
1 - 200 DM,36,16425,8507.4,558.77,perfect,furniture/appliances,3804,< 100 DM,1 - 4 years,4,1,42,none,own,1,skilled,1,yes,yes
> 200 DM,24,5000,1306.15,170.13,critical,car,1344,unknown,4 - 7 years,4,2,37,bank,own,2,unskilled,2,no,yes
< 0 DM,10,5650,133.09,192.25,critical,car,1038,< 100 DM,4 - 7 years,4,3,49,none,own,2,skilled,1,yes,no
unknown,48,24000,3912.76,816.66,critical,car,10127,500 - 1000 DM,1 - 4 years,2,2,44,bank,other,1,skilled,1,no,yes
unknown,6,12000,4891.31,408.37,good,furniture/appliances,1543,> 1000 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no,no
unknown,30,1800,436.01,61.27,good,car,4811,unknown,4 - 7 years,2,4,24,store,rent,1,unskilled,1,no,no
< 0 DM,12,10000,4362.94,340.43,good,furniture/appliances,727,100 - 500 DM,< 1 year,4,3,33,none,own,1,unskilled,1,yes,yes
1 - 200 DM,8,16000,6297.36,544.9,good,furniture/appliances,1237,< 100 DM,1 - 4 years,3,4,24,none,own,1,skilled,1,no,yes
1 - 200 DM,9,12175,9227.74,414.73,good,car,276,< 100 DM,1 - 4 years,4,4,22,none,rent,1,unskilled,1,no,no
1 - 200 DM,48,12000,2921.75,408.77,good,car0,5381,unknown,unemployed,3,4,40,bank,other,1,unemployed,1,yes,no
unknown,24,30000,22613.28,1022.88,good,furniture/appliances,5511,100 - 500 DM,1 - 4 years,4,1,25,store,own,1,skilled,1,no,no
> 200 DM,24,30000,875.2,1022.96,good,furniture/appliances,3749,< 100 DM,< 1 year,2,4,26,none,own,1,skilled,1,no,no
1 - 200 DM,12,2400,50.63,81.84,good,car,685,< 100 DM,4 - 7 years,2,3,25,bank,own,1,unskilled,1,no,yes
> 200 DM,4,35000,867,1193.54,good,car,1494,unknown,< 1 year,1,2,29,none,own,1,unskilled,2,no,no
< 0 DM,36,9450,3840.02,322.28,very good,furniture/appliances,2746,< 100 DM,> 7 years,4,4,31,bank,own,1,skilled,1,no,yes
< 0 DM,12,2800,60.7,95.51,good,furniture/appliances,708,< 100 DM,1 - 4 years,2,3,38,none,own,1,unskilled,2,no,no
1 - 200 DM,24,28000,21112.5,955.22,good,furniture/appliances,4351,unknown,1 - 4 years,1,4,48,none,own,1,unskilled,1,yes,no
unknown,12,12250,293.18,418.02,critical,education,701,< 100 DM,1 - 4 years,4,2,32,none,own,2,skilled,1,no,no
< 0 DM,15,14000,335.17,477.83,poor,furniture/appliances,3643,< 100 DM,> 7 years,1,4,27,none,own,2,unskilled,1,no,no
1 - 200 DM,30,30000,22883.39,1024.1,critical,car,4249,< 100 DM,unemployed,4,2,28,none,own,2,management,1,no,yes
< 0 DM,24,10000,224.62,341.41,good,furniture/appliances,1938,< 100 DM,< 1 year,4,3,32,none,own,1,skilled,1,no,yes
< 0 DM,24,8000,189.16,273.14,good,car,2910,< 100 DM,4 - 7 years,2,1,34,none,other,1,management,1,yes,no
< 0 DM,18,8000,3206.32,273.22,good,furniture/appliances,2659,> 1000 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,no
unknown,18,5000,2011.13,170.77,critical,car,1028,< 100 DM,1 - 4 years,4,3,36,none,own,2,skilled,1,no,no
< 0 DM,8,13400,5430.06,457.75,critical,car,3398,< 100 DM,4 - 7 years,1,4,39,none,own,2,unskilled,1,no,no
unknown,12,10000,217,341.69,critical,furniture/appliances,5801,unknown,> 7 years,2,4,49,none,rent,1,skilled,1,yes,no
unknown,24,8000,3228.91,273.38,good,car,1525,> 1000 DM,4 - 7 years,4,3,34,none,own,1,skilled,2,yes,no
> 200 DM,36,2500,1170.49,85.44,good,furniture/appliances,4473,< 100 DM,> 7 years,4,2,31,none,own,1,skilled,1,no,no
1 - 200 DM,6,23000,476.52,786.38,good,furniture/appliances,1068,< 100 DM,> 7 years,4,4,28,none,own,1,skilled,2,no,no
< 0 DM,24,4000,1009.64,136.77,critical,car,6615,< 100 DM,unemployed,2,4,75,none,other,2,management,1,yes,no
unknown,18,10000,7720.33,341.93,critical,education,1864,100 - 500 DM,1 - 4 years,4,2,30,none,own,2,skilled,1,no,yes
1 - 200 DM,60,12000,2871.84,410.35,good,car,7408,100 - 500 DM,< 1 year,4,2,24,none,own,1,management,1,no,yes
unknown,48,18225,377.72,623.25,critical,car,11590,100 - 500 DM,1 - 4 years,2,4,24,bank,rent,2,unskilled,1,no,yes
< 0 DM,24,5975,2412.61,204.35,perfect,furniture/appliances,4110,< 100 DM,> 7 years,3,4,23,bank,rent,2,skilled,2,no,yes
< 0 DM,6,35000,746.16,1197.16,critical,furniture/appliances,3384,< 100 DM,1 - 4 years,1,4,44,none,rent,1,management,1,yes,yes
1 - 200 DM,13,3550,1424.5,121.44,good,furniture/appliances,2101,< 100 DM,< 1 year,2,4,23,none,own,1,unskilled,1,no,no
< 0 DM,15,12000,9242.52,410.54,good,furniture/appliances,1275,unknown,1 - 4 years,4,2,24,none,rent,1,skilled,1,no,yes
< 0 DM,24,4000,3225.61,136.91,good,furniture/appliances,4169,< 100 DM,1 - 4 years,4,4,28,none,own,1,skilled,1,no,no
1 - 200 DM,10,5000,2211.29,171.14,good,furniture/appliances,1521,< 100 DM,1 - 4 years,4,2,31,none,own,1,unskilled,1,no,no
1 - 200 DM,24,5000,1224.7,171.16,critical,education,5743,< 100 DM,< 1 year,2,4,24,none,other,2,skilled,1,yes,no
< 0 DM,21,24875,459,851.85,good,furniture/appliances,3599,< 100 DM,4 - 7 years,1,4,26,none,rent,1,unskilled,1,no,no
1 - 200 DM,18,24000,487.76,822.16,good,furniture/appliances,3213,500 - 1000 DM,< 1 year,1,3,25,none,rent,1,skilled,1,no,no
1 - 200 DM,18,4050,3171.69,138.76,good,business,4439,< 100 DM,> 7 years,1,1,33,bank,own,1,management,1,yes,no
> 200 DM,10,10000,6468.96,342.7,good,car,3949,< 100 DM,< 1 year,1,1,37,none,own,1,unskilled,2,no,no
unknown,15,15000,6387.53,514.1,critical,furniture/appliances,1459,< 100 DM,1 - 4 years,4,2,43,none,own,1,unskilled,1,no,no
1 - 200 DM,13,2000,1506.91,68.56,critical,furniture/appliances,882,< 100 DM,< 1 year,4,4,23,none,own,2,skilled,1,no,no
1 - 200 DM,24,25000,10036.61,857.66,good,furniture/appliances,3758,500 - 1000 DM,unemployed,1,4,23,none,rent,1,unemployed,1,no,no
unknown,6,8700,3848.14,298.85,poor,business,1743,100 - 500 DM,1 - 4 years,1,2,34,none,own,2,unskilled,1,no,no
1 - 200 DM,9,12000,5239.43,412.22,critical,education,1136,> 1000 DM,> 7 years,4,3,32,none,other,2,skilled,2,no,yes
unknown,9,15000,6231.02,515.36,good,furniture/appliances,1236,< 100 DM,< 1 year,1,4,23,none,rent,1,skilled,1,yes,no
1 - 200 DM,9,2000,819.78,68.72,good,furniture/appliances,959,< 100 DM,1 - 4 years,1,2,29,none,own,1,skilled,1,no,yes
unknown,18,5000,3880.4,171.9,critical,car,3229,unknown,unemployed,2,4,38,none,own,1,management,1,yes,no
< 0 DM,12,10000,4108.36,0,perfect,furniture/appliances,6199,< 100 DM,1 - 4 years,4,2,28,none,rent,2,skilled,1,yes,yes
unknown,10,4725,1859.61,0,good,education,727,500 - 1000 DM,> 7 years,4,4,46,none,other,1,skilled,1,yes,no
1 - 200 DM,24,8000,3063.09,0,good,car,1246,< 100 DM,< 1 year,4,2,23,store,own,1,unskilled,1,no,yes
unknown,12,8000,3133.84,0,critical,furniture/appliances,2331,unknown,> 7 years,1,4,49,none,own,1,skilled,1,yes,no
unknown,36,3825,1437.59,0,poor,furniture/appliances,4463,< 100 DM,1 - 4 years,4,2,26,none,own,2,management,1,yes,yes
unknown,12,22000,8707.62,0,good,furniture/appliances,776,< 100 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,no
< 0 DM,30,10000,4042.61,0,good,furniture/appliances,2406,< 100 DM,4 - 7 years,4,4,23,none,rent,1,skilled,1,no,yes
1 - 200 DM,18,11025,4198.66,0,good,education,1239,unknown,1 - 4 years,4,4,61,none,other,1,skilled,1,no,no
> 200 DM,12,26400,5027.67,0,good,furniture/appliances,3399,unknown,> 7 years,2,3,37,none,own,1,management,1,no,no
> 200 DM,12,12000,12000,0,poor,car,2247,< 100 DM,1 - 4 years,2,2,36,store,own,2,skilled,1,yes,no
unknown,6,19550,7623.66,0,good,furniture/appliances,1766,< 100 DM,1 - 4 years,1,2,21,none,rent,1,skilled,1,no,no
< 0 DM,18,4800,1889.09,0,good,furniture/appliances,2473,< 100 DM,unemployed,4,1,25,none,own,1,unemployed,1,no,yes
unknown,12,17575,3258.84,0,good,business,1542,< 100 DM,4 - 7 years,2,4,36,none,own,1,skilled,1,yes,no
unknown,18,12000,12000,0,critical,car,3850,< 100 DM,4 - 7 years,3,1,27,none,own,2,skilled,1,no,no
< 0 DM,18,6000,2497.38,0,good,furniture/appliances,3650,< 100 DM,< 1 year,1,4,22,none,rent,1,skilled,1,no,no
< 0 DM,36,5000,1824.43,0,good,furniture/appliances,3446,< 100 DM,> 7 years,4,2,42,none,own,1,skilled,2,no,yes
1 - 200 DM,18,16000,6692.62,0,good,furniture/appliances,3001,< 100 DM,4 - 7 years,2,4,40,none,rent,1,skilled,1,no,no
unknown,36,10075,3946.79,0,good,car,3079,unknown,1 - 4 years,4,4,36,none,own,1,skilled,1,no,no
unknown,18,13050,13050,0,critical,furniture/appliances,6070,< 100 DM,> 7 years,3,4,33,none,own,2,skilled,1,yes,no
unknown,10,27975,11493.21,0,critical,furniture/appliances,2146,< 100 DM,< 1 year,1,3,23,none,rent,2,skilled,1,no,no
unknown,60,22000,4313.72,0,critical,car,13756,unknown,> 7 years,2,4,63,bank,other,1,management,1,yes,no
1 - 200 DM,60,24000,14588.89,0,very good,car0,14782,100 - 500 DM,> 7 years,3,4,60,bank,other,2,management,1,yes,yes
< 0 DM,48,18000,10893.14,0,very good,business,7685,< 100 DM,4 - 7 years,2,4,37,none,rent,1,skilled,1,no,yes
unknown,18,15200,4491.28,0,poor,furniture/appliances,2320,< 100 DM,unemployed,2,3,34,none,own,2,skilled,1,no,no
unknown,7,15000,15000,0,poor,furniture/appliances,846,unknown,> 7 years,3,4,36,none,other,1,skilled,1,no,no
1 - 200 DM,36,7000,7000,0,good,car,14318,< 100 DM,> 7 years,4,2,57,none,other,1,management,1,yes,yes
unknown,6,20000,11730.38,0,critical,car,362,100 - 500 DM,1 - 4 years,4,4,52,none,own,2,unskilled,1,no,no
< 0 DM,20,12000,1099.92,0,good,furniture/appliances,2212,unknown,4 - 7 years,4,4,39,none,own,1,skilled,1,yes,no
1 - 200 DM,18,6100,3550.87,0,good,car,12976,< 100 DM,unemployed,3,4,38,none,other,1,management,1,yes,yes
unknown,22,16000,4964.29,0,good,car,1283,unknown,4 - 7 years,4,4,25,none,rent,1,skilled,1,no,no
> 200 DM,12,35000,10225.16,0,good,car,1330,< 100 DM,< 1 year,4,1,26,none,own,1,skilled,1,no,no
unknown,30,30000,8760.12,0,poor,business,4272,100 - 500 DM,1 - 4 years,2,2,26,none,own,2,unskilled,1,no,no
unknown,18,6000,3564.24,0,critical,furniture/appliances,2238,< 100 DM,1 - 4 years,2,1,25,none,own,2,skilled,1,no,no
unknown,18,15000,9185.51,0,good,furniture/appliances,1126,unknown,< 1 year,4,2,21,none,rent,1,skilled,1,yes,no
1 - 200 DM,18,5000,5000,0,critical,furniture/appliances,7374,< 100 DM,unemployed,4,4,40,store,own,2,management,1,yes,no
1 - 200 DM,15,12000,6900.1,0,critical,business,2326,500 - 1000 DM,1 - 4 years,2,4,27,bank,own,1,skilled,1,no,no
unknown,9,14000,8622.12,0,good,business,1449,< 100 DM,4 - 7 years,3,2,27,none,own,2,skilled,1,no,no
unknown,18,12800,7478.92,0,good,car,1820,< 100 DM,1 - 4 years,2,2,30,none,own,1,management,1,yes,no
1 - 200 DM,12,12000,7099.35,0,good,furniture/appliances,983,> 1000 DM,< 1 year,1,4,19,none,rent,1,unskilled,1,no,no
< 0 DM,36,14400,14400,0,good,car,3249,< 100 DM,4 - 7 years,2,4,39,bank,other,1,management,2,yes,no
< 0 DM,6,12000,7080.42,0,critical,furniture/appliances,1957,< 100 DM,4 - 7 years,1,4,31,none,own,1,skilled,1,no,no
unknown,9,4000,555.37,0,critical,furniture/appliances,2406,< 100 DM,unemployed,2,3,31,none,own,1,management,1,no,no
1 - 200 DM,39,8000,4776.27,0,poor,education,11760,100 - 500 DM,4 - 7 years,2,3,32,none,rent,1,skilled,1,yes,no
< 0 DM,12,20000,12227.54,0,good,furniture/appliances,2578,< 100 DM,unemployed,3,4,55,none,other,1,management,1,no,no
< 0 DM,36,18000,18000,0,critical,furniture/appliances,2348,< 100 DM,1 - 4 years,3,2,46,none,own,2,skilled,1,yes,no
1 - 200 DM,12,11175,218.74,0,good,car,1223,< 100 DM,> 7 years,1,1,46,none,rent,2,skilled,1,no,yes
unknown,24,32000,19104.81,0,critical,furniture/appliances,1516,> 1000 DM,1 - 4 years,4,1,43,none,own,2,unskilled,1,no,no
unknown,18,10425,6114.49,0,good,furniture/appliances,1473,< 100 DM,< 1 year,3,4,39,none,own,1,skilled,1,yes,no
1 - 200 DM,18,10000,9999.99,0,critical,business,1887,unknown,1 - 4 years,4,4,28,bank,own,2,skilled,1,no,no
unknown,24,4800,2815.32,0,poor,business,8648,< 100 DM,< 1 year,2,2,27,bank,own,2,skilled,1,yes,yes
unknown,14,12000,7262.01,0,poor,car,802,< 100 DM,1 - 4 years,4,2,27,none,own,2,unskilled,1,no,no
1 - 200 DM,18,18000,10809.83,0,poor,car,2899,unknown,> 7 years,4,4,43,none,own,1,skilled,2,no,no
1 - 200 DM,24,10000,6123.67,0,good,furniture/appliances,2039,< 100 DM,< 1 year,1,1,22,none,own,1,skilled,1,yes,yes
unknown,24,33500,33500,0,critical,car,2197,unknown,4 - 7 years,4,4,43,none,own,2,skilled,2,yes,no
< 0 DM,15,10000,2653.19,0,good,furniture/appliances,1053,< 100 DM,< 1 year,4,2,27,none,own,1,skilled,1,no,no
unknown,24,25000,14289.74,0,good,furniture/appliances,3235,500 - 1000 DM,> 7 years,3,2,26,none,own,1,management,1,yes,no
> 200 DM,12,12500,12500,0,critical,car,939,500 - 1000 DM,4 - 7 years,4,2,28,none,own,3,skilled,1,yes,yes
1 - 200 DM,24,10800,10800,0,good,furniture/appliances,1967,< 100 DM,> 7 years,4,4,20,none,own,1,skilled,1,yes,no
unknown,33,12000,12000,0,critical,car,7253,< 100 DM,4 - 7 years,3,2,35,none,own,2,management,1,yes,no
